Accession Date (YYYYMMDD),Accession #,Title,Author,Author_name_portion,# Times Checked Out
18940727,8991,Marcella.,"Ward, Humphry, Mrs., 1851-1920.", Mrs. Humphry Ward,96
18940727,8993,"The betrothed : and , Peveril of the Peak.","Scott, Walter, Sir, 1771-1832.", Sir Walter Scott,39
18940727,8994,Rob Roy : Heart of Midlothian.,"Scott, Walter, Sir, 1771-1832.", Sir Walter Scott,52
18940727,8995,Black dwarf : Old Mortality ; Quentin Durward.,"Scott, Walter, Sir, 1771-1832.", Sir Walter Scott,36
18940727,8997,Kenilworth : St. Ronan's well.,"Scott, Walter, Sir, 1771-1832.", Sir Walter Scott,78
18940727,8998,Bride of Lammermoor : a legend of Montrose ; Chronicles of the Canongate ; Surgeon's daughter.,"Scott, Walter, Sir, 1771-1832.", Sir Walter Scott,53
18940727,8999,Redgauntlet and The pirate.,"Scott, Walter, Sir, 1771-1832.", Sir Walter Scott,54
18940727,9000,The fortunes of Nigel and Count Robert of Paris.,"Scott, Walter, Sir, 1771-1832.", Sir Walter Scott,18
18940727,9003,Waverley : Woodstock.,"Scott, Walter, Sir, 1771-1832.", Sir Walter Scott,12
18750313,925,Sword and gown. A novel.,"Lawrence, George A. (George Alfred), 1827-1876.", George Alfred Lawrence,26
18750313,926,Mr. Wynyard's ward : a novel.,"Lee, Holme, 1828-1900.", Holme Lee,25
18750313,937,Mabel's progress : a novel.,"Trollope, Frances Eleanor, d. 1913.", Frances Eleanor Trollope,42
18920318,8253,Hospital sketches and Camp and fireside stories.,"Alcott, Louisa May, 1832-1888.", Louisa May Alcott,86
18750313,990,"Bernthal; or, The son's revenge.","Mühlbach, L. (Luise), 1814-1873.", Luise Mühlbach,14
18750313,1000,Ester Ried : asleep and awake.,"Alden, Isabella Macdonald, 1841-1930.", Isabella Macdonald Alden,86
18920318,8255,Under the lilacs.,"Alcott, Louisa May, 1832-1888.", Louisa May Alcott,281
18920907,8259,The little millionaire.,"Moodey, Martha Livingston.", Martha Livingston Moodey,56
18750313,1026,"Peg Woffington : Christie Johnstone, and other stories.","Reade, Charles, 1814-1884.", Charles Reade,36
18940821,9027,The captain of the Janizaries : a story of the times of Scanderbeg and the fall of Constantinople.,"Ludlow, James M. (James Meeker), 1841-1932.", James Meeker Ludlow,28
18940821,9028,"Life's little ironies : a set of tales, with some colloquial sketches, entitled, A few crusted characters.","Hardy, Thomas, 1840-1928.", Thomas Hardy,61
18940821,9034,Deephaven.,"Jewett, Sarah Orne, 1849-1909.", Sarah Orne Jewett,51
18940821,9036,"Marked ""personal"".","Green, Anna Katharine, 1846-1935.", Anna Katharine Green,106
18940821,9037,The refugees : a tale of two continents.,"Doyle, Arthur Conan, Sir, 1859-1930.", Sir Arthur Conan Doyle,82
18940821,9039,"Kidnapped : being memoirs of the adventures of David Balfour in the year 1751, how he was kidnapped and cast away, his sufferings in a desert isle, his journey in the wild highlands.","Stevenson, Robert Louis, 1850-1894.", Robert Louis Stevenson,96
18940821,9045,"""O thou, my Austria!""","Schubin, Ossip, 1854-1934.", Ossip Schubin,102
18940821,9046,The lady with the rubies.,"John, Eugenie, 1825-1887.", Eugenie John,185
18940821,9047,"Out of the hurly-burly : or, life in an odd corner.","Adeler, Max, 1841-1915.", Max Adeler,43
18940821,9048,Monk and knight : an historical study in fiction.,"Gunsaulus, Frank W. (Frank Wakeley), 1856-1921.", Frank Wakeley Gunsaulus,29
18940821,9049,Monk and knight : an historical study in fiction.,"Gunsaulus, Frank W. (Frank Wakeley), 1856-1921.", Frank Wakeley Gunsaulus,19
18940821,9050,The scapegoat.,"Caine, Hall, Sir, 1853-1931.", Sir Hall Caine,80
18940821,9051,The Abbé Constantin.,"Halévy, Ludovic, 1834-1908.", Ludovic Halévy,44
18940821,9054,"The deluge : an historical novel of Poland, Sweden and Russia.","Sienkiewicz, Henryk, 1846-1916.", Henryk Sienkiewicz,44
18921017,8316,The mill on the Floss.,"Cross, Marian Evans, ‡d 1819-1880.", Marian Evans Cross,79
18921017,8317,A waif of the plains.,"Harte, Bret, 1836-1902.", Bret Harte,47
18921017,8320,Ardis Claverden.,"Stockton, Frank Richard, 1834-1902.", Frank Richard Stockton,107
18940821,9058,The rebel queen : a novel.,"Besant, Walter, Sir, 1836-1901.", Sir Walter Besant,108
18921017,8323,"My Apingi kingdom : with life in the great Sahara, and sketches of the chase of the ostrich, hyena, &c.","Du Chaillu, Paul B. (Paul Belloni), 1835-1903.", Paul Belloni Du Chaillu,58
18921017,8325,Elsie Venner : a romance of destiny.,"Holmes, Oliver Wendell, 1809-1894.", Oliver Wendell Holmes,107
18921017,8327,"The yacht club, or, The young boat-builder.","Adams, William T. ‡q (William Taylor), 1822-1897.", William Taylor Adams,100
18921017,8329,A summer in a canyon : a California story.,"Wiggin, Kate Douglas Smith, 1856-1923.", Kate Douglas Smith Wiggin,54
18940912,9090,Opening the oyster : a story of adventure.,"Marsh, Charles L. (Charles Leonard), 1854?-1930.", Charles Leonard Marsh,116
18940912,9091,A Whimsical Wooing.,"Barrili, Anton Giulio.", Anton Giulio Barrili,4
18940912,9098,Gold Elsie.,"John, Eugenie, 1825-1887.", Eugenie John,41
18940912,9099,Van Bibber and others.,"Davis, Richard Harding, 1864-1916.", Richard Harding Davis,58
18940912,9100,God's fool : a Koopstad story.,"Schwartz, Jozua Marius Willem, 1858-1915.", Jozua Marius Willem Schwartz,77
18940912,9101,Diana.,"Meredith, George, 1828-1909.", George Meredith,46
18940912,9102,A princess of Java : a tale of the Far East.,"Higginson, S. J.", S. J. Higginson,58
18940912,9103,Horace Chase : a novel.,"Woolson, Constance Fenimore, 1840-1894.", Constance Fenimore Woolson,114
18940912,9104,Pembroke : a novel.,"Freeman, Mary Eleanor Wilkins, 1852-1930.", Mary Eleanor Wilkins Freeman,114
