accession_number,book_url
7711,https://lib.bsu.edu/wmr/book_record.php?ID=4403
7713,https://lib.bsu.edu/wmr/book_record.php?ID=4413
7714,https://lib.bsu.edu/wmr/book_record.php?ID=4414
7715,https://lib.bsu.edu/wmr/book_record.php?ID=4416
7718,https://lib.bsu.edu/wmr/book_record.php?ID=4425
7719,https://lib.bsu.edu/wmr/book_record.php?ID=4431
7720,https://lib.bsu.edu/wmr/book_record.php?ID=4533
7721,https://lib.bsu.edu/wmr/book_record.php?ID=4534
7722,https://lib.bsu.edu/wmr/book_record.php?ID=4535
7725,https://lib.bsu.edu/wmr/book_record.php?ID=4539
7726,https://lib.bsu.edu/wmr/book_record.php?ID=4542
7728,https://lib.bsu.edu/wmr/book_record.php?ID=4549
7729,https://lib.bsu.edu/wmr/book_record.php?ID=4552
7730,https://lib.bsu.edu/wmr/book_record.php?ID=4554
7731,https://lib.bsu.edu/wmr/book_record.php?ID=4558
7732,https://lib.bsu.edu/wmr/book_record.php?ID=4562
7733,https://lib.bsu.edu/wmr/book_record.php?ID=4568
7736,https://lib.bsu.edu/wmr/book_record.php?ID=4581
7737,https://lib.bsu.edu/wmr/book_record.php?ID=4586
7738,https://lib.bsu.edu/wmr/book_record.php?ID=4590
8079,https://lib.bsu.edu/wmr/book_record.php?ID=2688
8080,https://lib.bsu.edu/wmr/book_record.php?ID=2689
8648,https://lib.bsu.edu/wmr/book_record.php?ID=10405
8218,https://lib.bsu.edu/wmr/book_record.php?ID=5030
8220,https://lib.bsu.edu/wmr/book_record.php?ID=5034
8253,https://lib.bsu.edu/wmr/book_record.php?ID=5707
8255,https://lib.bsu.edu/wmr/book_record.php?ID=5986
8083,https://lib.bsu.edu/wmr/book_record.php?ID=2919
8259,https://lib.bsu.edu/wmr/book_record.php?ID=5995
8486,https://lib.bsu.edu/wmr/book_record.php?ID=9212
8316,https://lib.bsu.edu/wmr/book_record.php?ID=6686
8317,https://lib.bsu.edu/wmr/book_record.php?ID=6688
8320,https://lib.bsu.edu/wmr/book_record.php?ID=6715
8323,https://lib.bsu.edu/wmr/book_record.php?ID=6816
8325,https://lib.bsu.edu/wmr/book_record.php?ID=6821
8327,https://lib.bsu.edu/wmr/book_record.php?ID=6823
8329,https://lib.bsu.edu/wmr/book_record.php?ID=6828
8332,https://lib.bsu.edu/wmr/book_record.php?ID=7275
8334,https://lib.bsu.edu/wmr/book_record.php?ID=7282
8336,https://lib.bsu.edu/wmr/book_record.php?ID=7285
8337,https://lib.bsu.edu/wmr/book_record.php?ID=7286
8338,https://lib.bsu.edu/wmr/book_record.php?ID=7295
8339,https://lib.bsu.edu/wmr/book_record.php?ID=7297
8343,https://lib.bsu.edu/wmr/book_record.php?ID=7308
8349,https://lib.bsu.edu/wmr/book_record.php?ID=7325
8350,https://lib.bsu.edu/wmr/book_record.php?ID=7333
8351,https://lib.bsu.edu/wmr/book_record.php?ID=7334
8353,https://lib.bsu.edu/wmr/book_record.php?ID=7336
8362,https://lib.bsu.edu/wmr/book_record.php?ID=7345
8363,https://lib.bsu.edu/wmr/book_record.php?ID=7346
8364,https://lib.bsu.edu/wmr/book_record.php?ID=7361
8365,https://lib.bsu.edu/wmr/book_record.php?ID=7364
8366,https://lib.bsu.edu/wmr/book_record.php?ID=7366
8367,https://lib.bsu.edu/wmr/book_record.php?ID=7367
8368,https://lib.bsu.edu/wmr/book_record.php?ID=7535
8369,https://lib.bsu.edu/wmr/book_record.php?ID=7536
8375,https://lib.bsu.edu/wmr/book_record.php?ID=7570
8378,https://lib.bsu.edu/wmr/book_record.php?ID=7575
8382,https://lib.bsu.edu/wmr/book_record.php?ID=7656
8383,https://lib.bsu.edu/wmr/book_record.php?ID=7658
8386,https://lib.bsu.edu/wmr/book_record.php?ID=7665
8387,https://lib.bsu.edu/wmr/book_record.php?ID=7666
8388,https://lib.bsu.edu/wmr/book_record.php?ID=7669
8390,https://lib.bsu.edu/wmr/book_record.php?ID=7672
8391,https://lib.bsu.edu/wmr/book_record.php?ID=7675
8393,https://lib.bsu.edu/wmr/book_record.php?ID=7774
8394,https://lib.bsu.edu/wmr/book_record.php?ID=7775
8395,https://lib.bsu.edu/wmr/book_record.php?ID=7776
8396,https://lib.bsu.edu/wmr/book_record.php?ID=7777
8398,https://lib.bsu.edu/wmr/book_record.php?ID=7939
8399,https://lib.bsu.edu/wmr/book_record.php?ID=7941
8400,https://lib.bsu.edu/wmr/book_record.php?ID=7944
8401,https://lib.bsu.edu/wmr/book_record.php?ID=7947
8403,https://lib.bsu.edu/wmr/book_record.php?ID=7951
8405,https://lib.bsu.edu/wmr/book_record.php?ID=7953
8406,https://lib.bsu.edu/wmr/book_record.php?ID=7955
8408,https://lib.bsu.edu/wmr/book_record.php?ID=8014
8413,https://lib.bsu.edu/wmr/book_record.php?ID=8023
8414,https://lib.bsu.edu/wmr/book_record.php?ID=8024
8415,https://lib.bsu.edu/wmr/book_record.php?ID=8026
8417,https://lib.bsu.edu/wmr/book_record.php?ID=8193
8418,https://lib.bsu.edu/wmr/book_record.php?ID=8194
8419,https://lib.bsu.edu/wmr/book_record.php?ID=8196
8424,https://lib.bsu.edu/wmr/book_record.php?ID=8210
8425,https://lib.bsu.edu/wmr/book_record.php?ID=8217
8426,https://lib.bsu.edu/wmr/book_record.php?ID=8219
8427,https://lib.bsu.edu/wmr/book_record.php?ID=8283
8439,https://lib.bsu.edu/wmr/book_record.php?ID=8355
8441,https://lib.bsu.edu/wmr/book_record.php?ID=8360
8443,https://lib.bsu.edu/wmr/book_record.php?ID=8364
8444,https://lib.bsu.edu/wmr/book_record.php?ID=8365
8451,https://lib.bsu.edu/wmr/book_record.php?ID=8628
8454,https://lib.bsu.edu/wmr/book_record.php?ID=8643
8456,https://lib.bsu.edu/wmr/book_record.php?ID=8645
8458,https://lib.bsu.edu/wmr/book_record.php?ID=8651
8462,https://lib.bsu.edu/wmr/book_record.php?ID=8658
8464,https://lib.bsu.edu/wmr/book_record.php?ID=8886
8466,https://lib.bsu.edu/wmr/book_record.php?ID=8891
8472,https://lib.bsu.edu/wmr/book_record.php?ID=8909
8474,https://lib.bsu.edu/wmr/book_record.php?ID=8913
8480,https://lib.bsu.edu/wmr/book_record.php?ID=9005
8482,https://lib.bsu.edu/wmr/book_record.php?ID=9009
8483,https://lib.bsu.edu/wmr/book_record.php?ID=9014
8484,https://lib.bsu.edu/wmr/book_record.php?ID=9210
8485,https://lib.bsu.edu/wmr/book_record.php?ID=9211
8487,https://lib.bsu.edu/wmr/book_record.php?ID=9213
8488,https://lib.bsu.edu/wmr/book_record.php?ID=9255
8489,https://lib.bsu.edu/wmr/book_record.php?ID=9258
8490,https://lib.bsu.edu/wmr/book_record.php?ID=9262
8492,https://lib.bsu.edu/wmr/book_record.php?ID=9269
8497,https://lib.bsu.edu/wmr/book_record.php?ID=9279
8500,https://lib.bsu.edu/wmr/book_record.php?ID=9286
8502,https://lib.bsu.edu/wmr/book_record.php?ID=9335
8503,https://lib.bsu.edu/wmr/book_record.php?ID=9338
8506,https://lib.bsu.edu/wmr/book_record.php?ID=9343
8507,https://lib.bsu.edu/wmr/book_record.php?ID=9344
8512,https://lib.bsu.edu/wmr/book_record.php?ID=9351
8513,https://lib.bsu.edu/wmr/book_record.php?ID=9353
8514,https://lib.bsu.edu/wmr/book_record.php?ID=9366
8515,https://lib.bsu.edu/wmr/book_record.php?ID=9422
8516,https://lib.bsu.edu/wmr/book_record.php?ID=9423
8517,https://lib.bsu.edu/wmr/book_record.php?ID=9424
8519,https://lib.bsu.edu/wmr/book_record.php?ID=9426
8520,https://lib.bsu.edu/wmr/book_record.php?ID=9428
8522,https://lib.bsu.edu/wmr/book_record.php?ID=9431
8523,https://lib.bsu.edu/wmr/book_record.php?ID=9581
8524,https://lib.bsu.edu/wmr/book_record.php?ID=9583
8525,https://lib.bsu.edu/wmr/book_record.php?ID=9584
8526,https://lib.bsu.edu/wmr/book_record.php?ID=9585
8527,https://lib.bsu.edu/wmr/book_record.php?ID=9587
8529,https://lib.bsu.edu/wmr/book_record.php?ID=9590
8530,https://lib.bsu.edu/wmr/book_record.php?ID=9592
8532,https://lib.bsu.edu/wmr/book_record.php?ID=9595
8534,https://lib.bsu.edu/wmr/book_record.php?ID=9615
8536,https://lib.bsu.edu/wmr/book_record.php?ID=9787
8561,https://lib.bsu.edu/wmr/book_record.php?ID=9895
8562,https://lib.bsu.edu/wmr/book_record.php?ID=9896
8563,https://lib.bsu.edu/wmr/book_record.php?ID=9897
8565,https://lib.bsu.edu/wmr/book_record.php?ID=9903
8566,https://lib.bsu.edu/wmr/book_record.php?ID=9905
8567,https://lib.bsu.edu/wmr/book_record.php?ID=9907
8568,https://lib.bsu.edu/wmr/book_record.php?ID=9908
8569,https://lib.bsu.edu/wmr/book_record.php?ID=9911
8573,https://lib.bsu.edu/wmr/book_record.php?ID=9967
8578,https://lib.bsu.edu/wmr/book_record.php?ID=10003
8580,https://lib.bsu.edu/wmr/book_record.php?ID=10007
8581,https://lib.bsu.edu/wmr/book_record.php?ID=10009
8582,https://lib.bsu.edu/wmr/book_record.php?ID=10058
8585,https://lib.bsu.edu/wmr/book_record.php?ID=10062
8586,https://lib.bsu.edu/wmr/book_record.php?ID=10065
8588,https://lib.bsu.edu/wmr/book_record.php?ID=10071
8589,https://lib.bsu.edu/wmr/book_record.php?ID=10072
8592,https://lib.bsu.edu/wmr/book_record.php?ID=10128
8595,https://lib.bsu.edu/wmr/book_record.php?ID=10131
8596,https://lib.bsu.edu/wmr/book_record.php?ID=10132
8627,https://lib.bsu.edu/wmr/book_record.php?ID=10308
8633,https://lib.bsu.edu/wmr/book_record.php?ID=10317
8634,https://lib.bsu.edu/wmr/book_record.php?ID=10318
8639,https://lib.bsu.edu/wmr/book_record.php?ID=10376
8641,https://lib.bsu.edu/wmr/book_record.php?ID=10393
8649,https://lib.bsu.edu/wmr/book_record.php?ID=10407
8650,https://lib.bsu.edu/wmr/book_record.php?ID=10408
8652,https://lib.bsu.edu/wmr/book_record.php?ID=10411
8653,https://lib.bsu.edu/wmr/book_record.php?ID=10412
8654,https://lib.bsu.edu/wmr/book_record.php?ID=10413
8655,https://lib.bsu.edu/wmr/book_record.php?ID=10616
8656,https://lib.bsu.edu/wmr/book_record.php?ID=10617
8657,https://lib.bsu.edu/wmr/book_record.php?ID=10630
8658,https://lib.bsu.edu/wmr/book_record.php?ID=10632
8659,https://lib.bsu.edu/wmr/book_record.php?ID=10633
8660,https://lib.bsu.edu/wmr/book_record.php?ID=10634
8661,https://lib.bsu.edu/wmr/book_record.php?ID=10635
8662,https://lib.bsu.edu/wmr/book_record.php?ID=10637
8664,https://lib.bsu.edu/wmr/book_record.php?ID=10643
8666,https://lib.bsu.edu/wmr/book_record.php?ID=10645
8667,https://lib.bsu.edu/wmr/book_record.php?ID=10648
8669,https://lib.bsu.edu/wmr/book_record.php?ID=10651
8672,https://lib.bsu.edu/wmr/book_record.php?ID=10654
8674,https://lib.bsu.edu/wmr/book_record.php?ID=10656
8675,https://lib.bsu.edu/wmr/book_record.php?ID=10711
8676,https://lib.bsu.edu/wmr/book_record.php?ID=10712
8677,https://lib.bsu.edu/wmr/book_record.php?ID=10713
8687,https://lib.bsu.edu/wmr/book_record.php?ID=10848
8720,https://lib.bsu.edu/wmr/book_record.php?ID=11390
8722,https://lib.bsu.edu/wmr/book_record.php?ID=11392
8723,https://lib.bsu.edu/wmr/book_record.php?ID=11393
8979,https://lib.bsu.edu/wmr/book_record.php?ID=4911
8980,https://lib.bsu.edu/wmr/book_record.php?ID=5349
8981,https://lib.bsu.edu/wmr/book_record.php?ID=5350
8983,https://lib.bsu.edu/wmr/book_record.php?ID=5352
8984,https://lib.bsu.edu/wmr/book_record.php?ID=5353
8985,https://lib.bsu.edu/wmr/book_record.php?ID=5388
8986,https://lib.bsu.edu/wmr/book_record.php?ID=5389
8987,https://lib.bsu.edu/wmr/book_record.php?ID=5390
8988,https://lib.bsu.edu/wmr/book_record.php?ID=5391
8989,https://lib.bsu.edu/wmr/book_record.php?ID=5392
8990,https://lib.bsu.edu/wmr/book_record.php?ID=5394
8991,https://lib.bsu.edu/wmr/book_record.php?ID=5396
8993,https://lib.bsu.edu/wmr/book_record.php?ID=5417
8994,https://lib.bsu.edu/wmr/book_record.php?ID=5419
