patron_number,patron_url
4481,https://lib.bsu.edu/wmr/patron_record.php?ID=1960
4485,https://lib.bsu.edu/wmr/patron_record.php?ID=1048
4487,https://lib.bsu.edu/wmr/patron_record.php?ID=1049
4488,https://lib.bsu.edu/wmr/patron_record.php?ID=252
4492,https://lib.bsu.edu/wmr/patron_record.php?ID=1342
4495,https://lib.bsu.edu/wmr/patron_record.php?ID=50
4496,https://lib.bsu.edu/wmr/patron_record.php?ID=1050
4500,https://lib.bsu.edu/wmr/patron_record.php?ID=1969
4501,https://lib.bsu.edu/wmr/patron_record.php?ID=1051
4502,https://lib.bsu.edu/wmr/patron_record.php?ID=1970
4503,https://lib.bsu.edu/wmr/patron_record.php?ID=72
4505,https://lib.bsu.edu/wmr/patron_record.php?ID=1972
4506,https://lib.bsu.edu/wmr/patron_record.php?ID=83
4513,https://lib.bsu.edu/wmr/patron_record.php?ID=1183
4517,https://lib.bsu.edu/wmr/patron_record.php?ID=1975
4518,https://lib.bsu.edu/wmr/patron_record.php?ID=1976
4521,https://lib.bsu.edu/wmr/patron_record.php?ID=1977
4530,https://lib.bsu.edu/wmr/patron_record.php?ID=36
4532,https://lib.bsu.edu/wmr/patron_record.php?ID=1056
4534,https://lib.bsu.edu/wmr/patron_record.php?ID=659
4540,https://lib.bsu.edu/wmr/patron_record.php?ID=2146
4542,https://lib.bsu.edu/wmr/patron_record.php?ID=2150
4543,https://lib.bsu.edu/wmr/patron_record.php?ID=2153
4545,https://lib.bsu.edu/wmr/patron_record.php?ID=58
4547,https://lib.bsu.edu/wmr/patron_record.php?ID=2266
4549,https://lib.bsu.edu/wmr/patron_record.php?ID=156
4551,https://lib.bsu.edu/wmr/patron_record.php?ID=80
4552,https://lib.bsu.edu/wmr/patron_record.php?ID=1111
4555,https://lib.bsu.edu/wmr/patron_record.php?ID=44
4562,https://lib.bsu.edu/wmr/patron_record.php?ID=144
4564,https://lib.bsu.edu/wmr/patron_record.php?ID=856
4565,https://lib.bsu.edu/wmr/patron_record.php?ID=660
4577,https://lib.bsu.edu/wmr/patron_record.php?ID=1193
4578,https://lib.bsu.edu/wmr/patron_record.php?ID=1065
4580,https://lib.bsu.edu/wmr/patron_record.php?ID=1066
4581,https://lib.bsu.edu/wmr/patron_record.php?ID=1067
4583,https://lib.bsu.edu/wmr/patron_record.php?ID=1068
4585,https://lib.bsu.edu/wmr/patron_record.php?ID=2573
4588,https://lib.bsu.edu/wmr/patron_record.php?ID=1113
4593,https://lib.bsu.edu/wmr/patron_record.php?ID=42
4595,https://lib.bsu.edu/wmr/patron_record.php?ID=15
